Time          ,Rotational Speed (units),Cd,Cl
8.45,0,0.700814302,0.253326017
8.46,3.5267,0.663257087,0.104642797
8.47,5.7063,0.692173555,-0.116088335
8.48,5.7063,0.754783692,-0.254994634
8.49,3.5267,0.784439622,-0.289669438
8.5,0,0.7519396,-0.263709678
8.51,3.5267,0.717068354,-0.137318135
8.52,5.7063,0.704386656,0.03836129
8.53,5.7063,0.717056618,0.189253951
8.54,3.5267,0.736415077,0.259872438
8.55,0,0.700814302,0.253326016
8.56,3.5267,0.663257087,0.104642796
8.57,5.7063,0.692173554,-0.116088335
8.58,5.7063,0.754783692,-0.254994634
8.59,3.5267,0.784439622,-0.289669438
8.6,0,0.7519396,-0.263709678
8.61,3.5267,0.717068354,-0.137318135
8.62,5.7063,0.704386656,0.03836129
8.63,5.7063,0.717056618,0.189253951
8.64,3.5267,0.736415077,0.259872438
8.65,0,0.700814302,0.253326017
8.66,3.5267,0.663257086,0.104642797
8.67,5.7063,0.692173554,-0.116088335
8.68,5.7063,0.754783692,-0.254994634
8.69,3.5267,0.784439622,-0.289669437
8.7,0,0.7519396,-0.263709678
8.71,3.5267,0.717068354,-0.137318134
8.72,5.7063,0.704386656,0.03836129
8.73,5.7063,0.717056618,0.189253951
8.74,3.5267,0.736415077,0.259872438
8.75,0,0.700814302,0.253326017
8.76,3.5267,0.663257086,0.104642797
8.77,5.7063,0.692173554,-0.116088335
8.78,5.7063,0.754783692,-0.254994634
8.79,3.5267,0.784439622,-0.289669437
8.8,0,0.7519396,-0.263709678
8.81,3.5267,0.717068354,-0.137318134
8.82,5.7063,0.704386656,0.03836129
8.83,5.7063,0.717056618,0.189253951
8.84,3.5267,0.736415077,0.259872438
8.85,0,0.700814302,0.253326016
8.86,3.5267,0.663257086,0.104642796
8.87,5.7063,0.692173554,-0.116088335
8.88,5.7063,0.754783692,-0.254994634
8.89,3.5267,0.784439622,-0.289669437
8.9,0,0.751939599,-0.263709678
8.91,3.5267,0.717068354,-0.137318135
8.92,5.7063,0.704386656,0.03836129
8.93,5.7063,0.717056618,0.189253951
8.94,3.5267,0.736415077,0.259872438
8.95,0,0.700814302,0.253326016
8.96,3.5267,0.663257086,0.104642796
8.97,5.7063,0.692173554,-0.116088335
8.98,5.7063,0.754783692,-0.254994634
8.99,3.5267,0.784439622,-0.289669437
9,0,0.751939599,-0.263709678
9.01,3.5267,0.717068354,-0.137318134
9.02,5.7063,0.704386656,0.03836129
9.03,5.7063,0.717056618,0.189253951
9.04,3.5267,0.736415077,0.259872438
9.05,0,0.700814302,0.253326017
9.06,3.5267,0.663257086,0.104642797
9.07,5.7063,0.692173554,-0.116088335
9.08,5.7063,0.754783692,-0.254994634
9.09,3.5267,0.784439622,-0.289669437
9.1,0,0.751939599,-0.263709678
9.11,3.5267,0.717068354,-0.137318134
9.12,5.7063,0.704386656,0.03836129
9.13,5.7063,0.717056617,0.189253951
9.14,3.5267,0.736415077,0.259872438
9.15,0,0.700814302,0.253326017
9.16,3.5267,0.663257086,0.104642797
9.17,5.7063,0.692173554,-0.116088335
9.18,5.7063,0.754783692,-0.254994634
9.19,3.5267,0.784439622,-0.289669437
9.2,0,0.751939599,-0.263709678
9.21,3.5267,0.717068354,-0.137318134
9.22,5.7063,0.704386656,0.03836129
9.23,5.7063,0.717056617,0.189253951
9.24,3.5267,0.736415077,0.259872438
9.25,0,0.700814302,0.253326016
9.26,3.5267,0.663257086,0.104642796
9.27,5.7063,0.692173554,-0.116088335
9.28,5.7063,0.754783692,-0.254994634
9.29,3.5267,0.784439622,-0.289669437
9.3,0,0.751939599,-0.263709678
9.31,3.5267,0.717068354,-0.137318134
9.32,5.7063,0.704386656,0.03836129
9.33,5.7063,0.717056617,0.189253951
9.34,3.5267,0.736415077,0.259872438
9.35,0,0.700814302,0.253326017
9.36,3.5267,0.663257086,0.104642796
9.37,5.7063,0.692173554,-0.116088335
9.38,5.7063,0.754783692,-0.254994634
9.39,3.5267,0.784439622,-0.289669437
9.4,0,0.751939599,-0.263709678
9.41,3.5267,0.717068354,-0.137318134
9.42,5.7063,0.704386656,0.03836129
9.43,5.7063,0.717056617,0.189253951
9.44,3.5267,0.736415077,0.259872438
9.45,0,0.700814302,0.253326017
9.46,3.5267,0.663257086,0.104642797
9.47,5.7063,0.692173554,-0.116088335
9.48,5.7063,0.754783692,-0.254994634
9.49,3.5267,0.784439622,-0.289669437
9.5,0,0.751939599,-0.263709678
9.51,3.5267,0.717068354,-0.137318134
9.52,5.7063,0.704386656,0.03836129
9.53,5.7063,0.717056617,0.189253951
9.54,3.5267,0.736415077,0.259872438
9.55,0,0.700814302,0.253326017
9.56,3.5267,0.663257086,0.104642796
9.57,5.7063,0.692173554,-0.116088335
9.58,5.7063,0.754783692,-0.254994634
9.59,3.5267,0.784439622,-0.289669437
9.6,0,0.751939599,-0.263709678
9.61,3.5267,0.717068354,-0.137318134
9.62,5.7063,0.704386656,0.03836129
9.63,5.7063,0.717056617,0.189253951
9.64,3.5267,0.736415077,0.259872438
9.65,0,0.700814302,0.253326017
9.66,3.5267,0.663257086,0.104642796
9.67,5.7063,0.692173554,-0.116088335
9.68,5.7063,0.754783692,-0.254994634
9.69,3.5267,0.784439622,-0.289669437
9.7,0,0.751939599,-0.263709678
9.71,3.5267,0.717068354,-0.137318134
9.72,5.7063,0.704386656,0.03836129
9.73,5.7063,0.717056617,0.189253951
9.74,3.5267,0.736415077,0.259872438
9.75,0,0.700814302,0.253326017
9.76,3.5267,0.663257086,0.104642797
9.77,5.7063,0.692173554,-0.116088335
9.78,5.7063,0.754783692,-0.254994634
9.79,3.5267,0.784439622,-0.289669437
9.8,0,0.751939599,-0.263709678
9.81,3.5267,0.717068354,-0.137318134
9.82,5.7063,0.704386656,0.03836129
9.83,5.7063,0.717056617,0.189253951
9.84,3.5267,0.736415077,0.259872438
9.85,0,0.700814302,0.253326017
9.86,3.5267,0.663257086,0.104642797
9.87,5.7063,0.692173554,-0.116088335
9.88,5.7063,0.754783692,-0.254994634
9.89,3.5267,0.784439622,-0.289669437
9.9,0,0.751939599,-0.263709678
9.91,3.5267,0.717068354,-0.137318134
9.92,5.7063,0.704386656,0.03836129
9.93,5.7063,0.717056617,0.189253951
9.94,3.5267,0.736415077,0.259872438
9.95,0,0.700814302,0.253326017
9.96,3.5267,0.663257086,0.104642796
9.97,5.7063,0.692173554,-0.116088335
9.98,5.7063,0.754783692,-0.254994634
9.99,3.5267,0.784439622,-0.289669437
10,0,0.751939599,-0.263709678
